pseudoword,Value
abhert,0.452500941
abhict,0.434171333
acleat,0.527803425
acmure,0.604888653
acoed,0.538989524
acoy,0.630760909
acraw,0.551281884
adeb,0.596883736
adlor,0.531686609
adpite,0.527063682
adrord,0.589540394
aercup,0.617660918
aflo,0.701051891
aflouse,0.602763526
afruist,0.588741881
aftot,0.604511843
aftul,0.522369951
afuke,0.484339097
agind,0.503890818
akiype,0.609634817
akiyse,0.587310955
akiysm,0.438252046
alinch,0.6142606
alproubt,0.477722827
amesse,0.559251474
amle,0.63290038
ampgrair,0.506877454
ancil,0.629622255
anneenths,0.565736803
ansey,0.560603651
apeted,0.527115149
apgen,0.550717004
apgents,0.593848963
apgert,0.442725127
apgor,0.445533224
apgra,0.526095509
apjoled,0.464379216
apjorm,0.542007702
appite,0.723883198
apuss,0.417917449
areese,0.55622704
arepent,0.521142005
arfin,0.565717635
arreges,0.441432127
artaits,0.659471096
aruds,0.495871155
arvol,0.600438222
arwarts,0.396263335
asarps,0.457197171
ascel,0.678903544
atben,0.530007133
atelecks,0.537274017
atrur,0.444536791
atryr,0.530267529
atsty,0.545501057
attice,0.626818379
atux,0.556743504
avoed,0.546571346
avol,0.592435343
awgits,0.513412008
awslonts,0.487248366
awturps,0.354921782
axnur,0.472544761
axswan,0.465674938
axswe,0.382812208
axude,0.511400469
axwas,0.431544754
aymupt,0.459611271
baflew,0.579311135
balal,0.48014526
balrims,0.489992412
bancid,0.308021988
baper,0.538002389
bapet,0.576473319
bapey,0.574604655
bapger,0.454571186
bapgion,0.477888933
bapgy,0.54117879
bapil,0.572719192
barought,0.513375428
barrocts,0.435599781
basaves,0.518771959
bavelts,0.567576724
baxswing,0.471354667
bayfy,0.631807601
beenish,0.567140543
belorse,0.483971867
belsot,0.575809381
bengeer,0.436949153
beplalds,0.475699136
berroyed,0.384270784
betby,0.663055085
betrur,0.515899782
bewfet,0.514918055
bhubaxe,0.418790215
bhuxon,0.538774578
bicket,0.524832001
bigurs,0.489622279
bilming,0.527761939
binmi,0.670991208
bipar,0.481260133
bipgar,0.53466203
bipgead,0.476113972
bippen,0.604690949
blabful,0.445649699
blact,0.493187018
blandron,0.468945733
blasclumed,0.394295782
bleezes,0.619126159
blegjay,0.502678762
blelshed,0.391921741
blengely,0.410250951
bloffs,0.471937311
bluley,0.545662654
blussoths,0.568360606
bockoths,0.416950299
bollcole,0.489697644
bomden,0.532157971
bonfles,0.614353962
bonthome,0.633899206
booselons,0.580029225
boppies,0.796334629
boshons,0.656010481
boubty,0.639673774
bouscils,0.509395877
breafs,0.51205157
bripgred,0.443415703
brisps,0.601038602
brubing,0.487359473
buckthout,0.347859469
buido,0.616277174
bulpen,0.542035636
bunsal,0.470414121
bureer,0.468681533
bursing,0.49851327
butsling,0.466656859
buvners,0.530993363
byloin,0.458155322
byloms,0.586422243
caby,0.684845643
cackhage,0.318007515
calbiest,0.573976365
caldness,0.39022481
calow,0.506328983
calwathe,0.482645839
cameons,0.568569951
camid,0.604984456
campgree,0.592907333
caplime,0.631562612
carbeen,0.700656397
carounts,0.592648053
carvelays,0.566285159
casp,0.57210485
caub,0.54739962
cavral,0.587283275
caxnus,0.415183987
ceatrings,0.549111547
cecoat,0.58768383
cecs,0.56694519
cecur,0.474035785
cefflier,0.572042046
cegurs,0.483046454
celve,0.518427294
centy,0.567695438
cestop,0.424591449
chapefers,0.580876926
charb,0.542399394
chavot,0.639003483
cherses,0.642638334
chever,0.600287666
chezing,0.562642605
chiddy,0.691130936
chlorted,0.518719762
choleboard,0.392839012
chrine,0.435689071
chuessed,0.574481983
chufo,0.612691996
chulb,0.486546987
chulle,0.604485895
chund,0.462435388
churse,0.473155474
chussals,0.540426572
chuzzer,0.523622417
cibness,0.549021422
clace,0.626571495
clact,0.508378927
claky,0.47986182
clawbants,0.39658758
cleb,0.524529071
clebe,0.556573746
cleete,0.465996683
clesk,0.491946074
clesp,0.556049086
cley,0.657528157
clinfler,0.437743244
cloddener,0.382235721
cloor,0.539167452
coachgurbed,0.352377427
coaxnine,0.369116991
cobfic,0.514308143
cobnies,0.628229591
codhus,0.492931502
cofew,0.53366236
cofnun,0.415175038
cofrer,0.549040314
colboas,0.482471219
coldibed,0.444391551
collauce,0.405722097
colpust,0.442564822
combrince,0.516907871
compake,0.594345279
compesh,0.474324214
compracked,0.418220071
comwosed,0.424146881
conchyls,0.447860961
condeg,0.445590367
congesnes,0.453594847
congirds,0.509523776
conmince,0.543898821
connar,0.570106091
connusts,0.405118567
conshosts,0.408605198
coopan,0.593328518
copga,0.50361808
copger,0.470136898
copgies,0.446608424
copgred,0.479925555
copgy,0.485456291
copicts,0.540515483
corkner,0.582497642
corrift,0.61522956
corsoy,0.53871341
cothaw,0.505986121
couthstips,0.496936992
cowdled,0.41970875
coyryx,0.385346842
cpar,0.512995103
cracots,0.48115706
crair,0.519316253
cramney,0.381746733
crangles,0.444865826
cranser,0.43990769
cratching,0.386220813
crearking,0.314354519
creely,0.414268395
crewdly,0.336559769
creycound,0.450902183
crideles,0.44245589
cridgepeads,0.345736168
cridgers,0.334035996
cridths,0.490473609
crile,0.407449257
croal,0.443096846
crockack,0.360364007
cruker,0.390695213
cruns,0.486923141
crutto,0.459748151
cryps,0.336467962
culboaned,0.34000637
cundeans,0.392154548
cupgal,0.536136975
cutbroas,0.393444895
cybrane,0.454178505
cyclite,0.572199594
cymning,0.519901597
cyquanes,0.484801766
dackly,0.525172099
dagoul,0.417773737
dalf,0.572565359
dallead,0.385250799
dalp,0.520400441
danchunk,0.463762069
dapgel,0.490515989
dapger,0.441433088
dapging,0.539982402
daping,0.542732583
dardpour,0.390994715
dasarps,0.413733164
dasetail,0.564261005
dashup,0.640794032
debty,0.384534179
dededge,0.401469374
deedlosh,0.458708425
defoles,0.378074926
defotes,0.389264734
degaps,0.393559963
degide,0.411404535
dehosed,0.265460885
deplarked,0.378740755
depleare,0.320910243
deplews,0.529590867
depouts,0.456661504
deprods,0.440790146
deprumed,0.272964138
depuds,0.446747829
depursts,0.419655602
deshey,0.524235683
desombs,0.35847215
despast,0.327504368
desues,0.486455083
desurps,0.395869663
detilns,0.502361096
devash,0.400508287
dewshaps,0.527430305
dezien,0.584712867
dezil,0.487025009
dezins,0.459310901
deziss,0.457814152
dezist,0.322718096
dicicts,0.44980006
dideles,0.531219593
diferesce,0.430591125
diffrorn,0.394846086
digrechs,0.33945002
digrelf,0.431823205
dilthes,0.425922754
dilths,0.369619736
dilthy,0.323083893
dimbprong,0.401909084
dimians,0.494930672
dipgred,0.418967505
dipske,0.413361986
dipuns,0.508070406
direrbs,0.518970903
diruke,0.443179668
dirursts,0.447981091
dirurved,0.371708687
dischoyed,0.324397334
disdauched,0.350445618
disdettes,0.327409659
disdorn,0.250204951
disfroke,0.312146636
disgraked,0.242306054
disgraud,0.270198714
disgroose,0.322658406
dislack,0.371533259
dislaists,0.392159401
dislausts,0.325685356
dislolls,0.423698843
dispames,0.407205953
dispreged,0.294963601
disputs,0.24463337
disrusts,0.26223166
disspost,0.349152555
ditheless,0.336710192
divords,0.227610857
divucts,0.398154968
doelt,0.387623644
doep,0.48882895
dofis,0.529593381
donco,0.571511575
dondits,0.505819721
donfled,0.437283497
donfles,0.536180178
donpled,0.530810063
doolcrobs,0.417592178
dortness,0.423440999
doryls,0.473358181
drapgash,0.349016567
drockly,0.506248718
drumess,0.536289552
dullting,0.34556209
dumfrings,0.358491499
duntbews,0.395942778
dupung,0.331682676
dyish,0.375898546
dymph,0.507763085
ealm,0.632118038
eament,0.508670008
earsiews,0.468173973
eashwands,0.541436334
ecate,0.518809949
edil,0.553313908
edso,0.592094845
edsows,0.525107425
eemlid,0.510129135
efel,0.621216772
efem,0.524111135
efut,0.564483591
eilthetes,0.535485505
eintrus,0.481804893
ejoles,0.519528994
ekeme,0.519001887
elktess,0.562841258
ellachs,0.518603666
elptish,0.610605132
eltence,0.60279863
eltshia,0.567996062
elurb,0.459805033
emfess,0.509314912
emild,0.63179108
emperk,0.630492317
enscenged,0.459116281
envogs,0.47914887
envone,0.572061604
enzui,0.488134446
erar,0.534278647
erfig,0.478420454
erfy,0.589415796
erhess,0.547015437
erids,0.569450193
ermby,0.620846882
eroves,0.52044262
errords,0.376221994
erual,0.406521157
escharked,0.440581819
esfess,0.586687763
esjume,0.53017111
eslood,0.490401239
estherse,0.521635465
estism,0.56306089
etige,0.557112208
etirt,0.463722418
evede,0.519928711
ewaw,0.536052603
ewoche,0.552294319
exbrafes,0.356862954
exbrarb,0.36993564
exfanks,0.379626978
exfirt,0.458364327
exfis,0.499079036
exfo,0.452940931
exgise,0.398856257
exnal,0.343784445
exnouse,0.368402798
expia,0.591969395
extrurt,0.358948374
fabler,0.671674668
fafled,0.527900892
falm,0.566330642
faloor,0.646460193
famps,0.498956846
fandede,0.556461564
fanely,0.644911934
fangeer,0.447083619
fawis,0.576200511
feading,0.583233493
feartings,0.361524541
febs,0.562951371
febser,0.485926683
fedee,0.677347529
fedlones,0.449073173
feechings,0.509133415
feetbrates,0.483002119
feightel,0.473263035
felks,0.528289376
fempa,0.56570154
ferban,0.516836949
festags,0.475044058
fething,0.454207854
fibhin,0.455084329
fibire,0.605085191
fibsted,0.471715036
