,X,pseudoword,Value,predicted_valence,predictedL_valence,predictedL_Bi_valence,predicted_Dim_valence,predictedL_Dim_valence,predictedBi_Dim_valence,predictedBi_valence,LDist,Ortho_VAL,Semant_Neigh,SDist,Semant_VAL
0,1,abhert,0.452500941,7.414813789,5.116167223,6.444633294,6.783771315,6.63049667,7.414813789,6.444633294,2,4.65571428571429,ordinary,0.55849233304158,5.05
1,2,abhict,0.434171333,8.233714393,5.059183319,6.509936083,7.366067564,7.377534359,8.233714393,6.509936083,2,3.09333333333333,cardigan,0.622202272576276,5.95
2,3,acleat,0.527803425,5.552468433,5.262971027,5.245825711,5.268642829,5.396114085,5.552468433,5.245825711,1,4.24,solarium,0.575150159038787,6.1
3,4,acmure,0.604888653,8.714640387,5.120028971,6.562896274,7.680826762,7.58323032,7.80991046,5.414532135,2,5.885,bad,0.570299239045161,3.24
4,5,acoed,0.538989524,7.340002393,5.115652307,5.30972731,7.10566203,7.024771169,7.340002393,5.30972731,1,5.68,girl,0.499034622347403,7.15
5,6,acoy,0.630760909,7.664925138,5.234811665,5.2413016,8.084343651,7.936129108,7.664925138,5.2413016,1,4.74333333333333,fine,0.500896855255868,6.5
6,7,acraw,0.551281884,7.968543108,5.180506246,4.897807177,8.202012525,8.220111756,7.968543108,4.897807177,2,5.04470588235294,side,0.572060385984453,5.32
7,8,adeb,0.596883736,8.07967633,5.025473888,5.077770176,8.171217836,8.033962732,8.07967633,5.077770176,2,5.25413793103448,aquamarine,0.582080877819568,6.4
8,9,adlor,0.531686609,5.696889824,5.006420881,4.625244825,5.855694574,5.89908105,5.696889824,4.625244825,2,5.64066666666667,act,0.589796879721746,5.64
9,10,adpite,0.527063682,8.36377809,5.038899508,5.100142855,8.216379287,8.225611821,8.36377809,5.100142855,2,6.06666666666667,regard,0.590582562785594,5.7
10,11,adrord,0.589540394,6.934202225,4.752490957,4.990909312,6.877915207,6.784194402,6.934202225,4.990909312,2,6.4825,reversal,0.56937315758223,4.86
11,12,aercup,0.617660918,7.257788347,5.115525808,5.9272291,6.936887716,6.948601996,7.257788347,5.9272291,2,6.5,lady,0.495609459447272,6.91
12,13,aflo,0.701051891,7.626178989,5.250160558,5.730175554,7.447873627,7.505490198,7.626178989,5.730175554,2,5.1952380952381,survive,0.560514262215283,6.9
13,14,aflouse,0.602763526,6.701665227,5.112843343,5.65027618,6.260707742,6.381306279,6.701665227,5.65027618,2,5.24666666666667,survive,0.472181062345394,6.9
